day_of_week,hour_of_day,temperature,precipitation,event,traffic_density,population_density,public_transport_capacity,demand
Sunday,22,30.41843689288104,29.140341754174482,Concert,0.7570481146986254,1320.3120772582874,91.61955208509539,77
Thursday,9,31.895664562337753,49.77187580956549,Concert,0.05560552168046062,9948.972724171434,99.5812171480614,84
Friday,18,30.220479818859978,42.78480469187697,Sports,0.006877962219649314,3094.5551402399665,58.18081020691381,174
Sunday,16,27.524406432628307,26.072284452179474,Holiday,0.21244727719547296,1484.4747241761318,84.58888195709912,443
Wednesday,4,17.624897553647752,3.182045464332117,Concert,0.6635235939134523,2708.87796186328,83.71467868500123,370
Friday,3,15.650523589825038,41.568675719285494,Sports,0.4111974888825458,1350.620617136178,98.99777236791392,91
Friday,9,33.41695695631374,29.94892540886053,None,0.40240625929931173,4526.298051554545,99.28003669764001,134
Sunday,23,27.33300629041476,5.746649852978342,None,0.8845868882296137,8221.616060061919,84.33393058620646,442
Tuesday,16,30.930745819523526,4.69286424116781,Sports,0.8955628481318387,4071.2000478194855,62.180739599109714,237
Wednesday,9,24.630447030251002,45.48134097182962,Sports,0.9091752640535857,4997.650661905299,89.92779190652996,160
Sunday,16,17.346163779247888,33.46001314690392,Concert,0.3138780765150273,7080.280962106949,55.35145671055191,320
Wednesday,19,17.50371584405101,41.46433996583777,None,0.6910558127392618,5580.046630628922,89.03496520858144,490
Wednesday,23,28.711305744579427,43.94894501411336,Sports,0.27163318127436964,8753.011174191917,95.50980620723482,374
Friday,4,23.606117897989254,28.58861760241611,None,0.19060983307444979,8794.321075411808,69.14166973842177,154
Thursday,1,19.010494534006735,25.872317587752065,Sports,0.18463245734736922,1089.1962594203828,81.53176474915402,455
Wednesday,5,24.83189093482874,21.521370516049508,None,0.34210762086359403,8002.416758348792,71.50713660484132,369
Saturday,20,16.284178741502682,15.847329389555965,Holiday,0.4299576197798217,5146.6024021750645,71.88825274940642,90
Friday,1,26.639428038287974,21.729798042935588,Concert,0.8309491710550684,9899.564871732968,65.518544455406,264
Tuesday,12,20.379868088701954,38.69398278650782,None,0.1198910934727121,5349.088682878916,88.10648102251622,120
Thursday,10,30.951182012743764,30.09617155075658,Holiday,0.7349258473948942,9882.063508494677,96.80882820832525,105
Saturday,10,21.207239178471475,44.6261644977423,None,0.5314549141893053,7791.124250851629,97.03754296172306,456
